ID,Timestamp,Temperature,Humidity,Voltage
71,2026-01-06T19:07:03Z,17.4,74.0,7.50418
72,2026-01-06T19:07:25Z,17.4,73.0,7.51062
73,2026-01-06T19:07:47Z,17.4,72.0,7.5078
74,2026-01-06T19:08:08Z,17.4,71.0,7.507
75,2026-01-06T19:08:30Z,17.4,70.0,7.50256
76,2026-01-06T19:08:51Z,17.5,70.0,7.50498
77,2026-01-06T19:09:13Z,17.5,69.0,7.49974
78,2026-01-06T19:09:35Z,17.5,69.0,7.5074
79,2026-01-06T19:09:57Z,17.5,68.0,7.50982
80,2026-01-06T19:10:19Z,17.5,68.0,7.50498
81,2026-01-06T19:10:40Z,17.5,67.0,7.49813
82,2026-01-06T19:11:02Z,17.5,67.0,7.50337
83,2026-01-06T19:11:24Z,17.5,67.0,7.50095
84,2026-01-06T19:11:46Z,17.5,67.0,7.49773
85,2026-01-06T19:12:07Z,17.6,66.0,7.51022
86,2026-01-06T19:12:30Z,17.6,66.0,7.50256
87,2026-01-06T19:43:52Z,17.5,63.0,7.47073
88,2026-01-06T19:44:22Z,17.5,63.0,7.49692
89,2026-01-06T19:44:43Z,17.5,63.0,7.49612
90,2026-01-06T19:45:05Z,17.5,63.0,7.49612
91,2026-01-06T19:45:27Z,17.6,63.0,7.49854
92,2026-01-06T19:45:48Z,17.6,63.0,7.46429
93,2026-01-06T19:46:10Z,17.6,63.0,7.49773
